code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
33 05 33.56,33,UTILITIES,4,Medium-Density Polyethylene Gas Utility Pipe,,,,,,,,33 05 33,[],33 05 33.56 — Medium-Density Polyethylene Gas Utility Pipe
33 05 33.63,33,UTILITIES,4,HDPE Communication Duct,,,,,,,,33 05 33,[],33 05 33.63 — HDPE Communication Duct
33 05 36,33,UTILITIES,3,Fiberglass-Reinforced Plastic Utility Pipe,,,,,,,,33 05 00,[],33 05 36 — Fiberglass-Reinforced Plastic Utility Pipe
33 05 36.13,33,UTILITIES,4,"Fiberglass-Reinforced Plastic Pipe for Utility Air, Gas, and Odor Service",,,,,,,,33 05 36,[],"33 05 36.13 — Fiberglass-Reinforced Plastic Pipe for Utility Air, Gas, and Odor Service"
33 05 36.23,33,UTILITIES,4,Fiberglass-Reinforced Plastic Pipe for Utility Liquid Service,,,,,,,,33 05 36,[],33 05 36.23 — Fiberglass-Reinforced Plastic Pipe for Utility Liquid Service
33 05 36.33,33,UTILITIES,4,Fiberglass-Reinforced Plastic Pipe for Electrical Service,,,,,,,,33 05 36,[],33 05 36.33 — Fiberglass-Reinforced Plastic Pipe for Electrical Service
33 05 37,33,UTILITIES,3,Centrifugally Cast Fiberglass-Reinforced Polymer Mortar Utility Pipe,,,,,,,,33 05 00,[],33 05 37 — Centrifugally Cast Fiberglass-Reinforced Polymer Mortar Utility Pipe
33 05 39,33,UTILITIES,3,Concrete Pipe,,,,,,,,33 05 00,[],33 05 39 — Concrete Pipe
33 05 39.11,33,UTILITIES,4,"Concrete Pressure Pipe, Steel-Cylinder Type (AWWA C300)",,,,,,,,33 05 39,[],"33 05 39.11 — Concrete Pressure Pipe, Steel-Cylinder Type (AWWA C300)"
33 05 39.13,33,UTILITIES,4,"Prestressed Concrete Pressure Pipe, Steel-Cylinder Type (AWWA C301)",,,,,,,,33 05 39,[],"33 05 39.13 — Prestressed Concrete Pressure Pipe, Steel-Cylinder Type (AWWA C301)"
33 05 39.16,33,UTILITIES,4,"Reinforced Concrete Pressure Pipe, Non-cylinder Type (AWWA C302)",,,,,,,,33 05 39,[],"33 05 39.16 — Reinforced Concrete Pressure Pipe, Non-cylinder Type (AWWA C302)"
33 05 39.17,33,UTILITIES,4,"Concrete Pressure Pipe, Bar-Wrapped Steel-Cylinder Type (AWWA C303)",,,,,,,,33 05 39,[],"33 05 39.17 — Concrete Pressure Pipe, Bar-Wrapped Steel-Cylinder Type (AWWA C303)"
33 05 39.23,33,UTILITIES,4,Reinforced Concrete Low-Head Pressure Utility Pipe,,,,,,,,33 05 39,[],33 05 39.23 — Reinforced Concrete Low-Head Pressure Utility Pipe
33 05 39.33,33,UTILITIES,4,Non-Reinforced Concrete Sewer and Culvert Pipe,,,,,,,,33 05 39,[],33 05 39.33 — Non-Reinforced Concrete Sewer and Culvert Pipe
33 05 39.36,33,UTILITIES,4,Non-Reinforced Concrete Irrigation and Drainage Pipe,,,,,,,,33 05 39,[],33 05 39.36 — Non-Reinforced Concrete Irrigation and Drainage Pipe
